date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-12-16 00:00:00,0,0,0.0,5.8,2,0,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-2,-5,-1,-5,17,25,92,0.0,1018,-2,10,356,11
2008-12-16 01:00:00,0,0,0.0,5.8,2,0,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-2,-5,-1,-5,18,23,92,0.0,1018,-2,10,243,11
2008-12-16 02:00:00,0,0,0.0,5.8,2,0,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-2,-5,-1,-5,18,21,93,0.0,1017,-1,10,130,11
2008-12-16 03:00:00,0,0,0.0,5.8,2,0,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-2,-5,-1,-5,19,19,93,0.0,1017,-1,10,17,12
2008-12-16 04:00:00,0,0,0.0,5.8,2,0,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-1,-4,0,-4,16,14,93,0.0,1017,-1,7,121,10
2008-12-16 05:00:00,0,0,0.0,5.8,2,0,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-1,-3,0,-3,12,10,94,0.0,1017,-2,5,225,9
2008-12-16 06:00:00,0,0,0.0,5.8,2,0,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,0,-2,0,-2,9,5,94,0.0,1017,-2,2,329,7
2008-12-16 07:00:00,0,0,0.0,5.8,2,1,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,0,-2,1,-2,10,3,90,0.0,1017,-1,5,224,9
2008-12-16 08:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,0,-1,2,-1,12,2,86,0.0,1017,-1,7,119,10
2008-12-16 09:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-1,-1,2,-1,13,0,81,0.0,1017,0,10,14,11
2008-12-16 10:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,0,1,4,1,10,0,77,0.0,1017,0,10,114,9
2008-12-16 11:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,1,4,5,4,8,0,73,0.0,1016,1,10,214,7
2008-12-16 12:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,1,6,7,6,5,0,69,0.0,1016,2,10,314,5
2008-12-16 13:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,1,5,6,5,7,0,71,0.0,1016,2,10,325,6
2008-12-16 14:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,1,3,5,3,9,0,73,0.0,1015,2,10,336,8
2008-12-16 15:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,0,2,5,2,10,0,75,0.0,1015,2,10,347,9
2008-12-16 16:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,0,2,4,2,9,0,76,0.0,1015,0,10,337,8
2008-12-16 17:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-1,1,3,1,8,0,77,0.0,1015,-1,10,327,7
2008-12-16 18:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-2,0,2,0,6,0,77,0.0,1015,-2,10,318,5
2008-12-16 19:00:00,0,0,0.0,5.8,2,2,71,10:49 PM,12:37 PM,09:39 AM,05:55 PM,-2,0,2,0,6,0,79,0.0,1014,-2,10,318,5
